Название вакансии,Название компании,зарплата,ссылка на вакансию
IT Project Manager - Magento 2 / WordPress,International Brands,2 500 – 3 000 $ до вычета налогов,https://hh.ru/vacancy/105003338?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист Python Middle+,Offer Now,до 330 000 ₽ до вычета налогов,https://hh.ru/vacancy/105956004?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Битрикс-разработчик (удаленно),ООО МассПроект,90 000 – 150 000 ₽ на руки,https://hh.ru/vacancy/105984836?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-разработчик / Middle PHP developer,FOXY WAY,от 170 000 ₽ на руки,https://hh.ru/vacancy/106035222?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Методист/разработчик курсов по программированию и цифровым навыкам,Алгоритмика,от 80 000 ₽ на руки,https://hh.ru/vacancy/104591824?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Senior PHP developer,Restaurant Guru,от 180 000 ₽ на руки,https://hh.ru/vacancy/105546363?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Старший программист 1С,Агентство ЛУКОМ-А,до 240 000 ₽ до вычета налогов,https://hh.ru/vacancy/94911788?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С / Разработчик 1С (офис),ООО М Партс,200 000 – 350 000 ₽ на руки,https://hh.ru/vacancy/105921675?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java-разработчик,CORE,от 230 000 ₽ на руки,https://hh.ru/vacancy/104861104?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle C++ Engineer,ООО Спектральные Технологии,300 000 – 400 000 ₽ на руки,https://hh.ru/vacancy/104734140?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Middle / Senior Fullstack / Backend разработчик (PostgreSQL, Node, Typescript, Vue)",Enter VR,100 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/104566734?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend developer,ООО Стрим Тех,от 200 000 ₽ на руки,https://hh.ru/vacancy/105246823?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Senior Backend Developer,ООО МСН Телеком,от 300 000 ₽ на руки,https://hh.ru/vacancy/105108599?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий web-разработчик PHP,Dex,250 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/105916161?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С ERP,Ventra IT Solutions,до 300 000 ₽ на руки,https://hh.ru/vacancy/104438896?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend TypeScript-разработчик,ООО Киберия,до 100 000 ₽ до вычета налогов,https://hh.ru/vacancy/106010164?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle PHP Developer (Symfony),KR Digital,до 300 000 ₽ на руки,https://hh.ru/vacancy/103303024?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Будущий ведущий программист 1С (пока middle),ООО ЦОМ МОСТ-1,от 300 000 ₽ до вычета налогов,https://hh.ru/vacancy/104576491?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Senior PHP Разработчик,Freedom International Group,300 000 – 350 000 ₽ на руки,https://hh.ru/vacancy/104389793?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Senior Javascript/Typescript разработчик,ООО Авакс,от 200 000 ₽ до вычета налогов,https://hh.ru/vacancy/105056022?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Full stack developer / Web-разработчик (WordPress/WooCommerce),ООО Дельба,от 100 000 ₽ на руки,https://hh.ru/vacancy/105722925?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Разработчик Python (Django, DRF)",ООО Фабрика Решений,150 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/97553452?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"PHP-разработчик (Laravel, Уровень Middle/Middle+)",GETWOLA,до 160 000 ₽ до вычета налогов,https://hh.ru/vacancy/105072748?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Senior .Net разработчик,Профилум,до 350 000 ₽ на руки,https://hh.ru/vacancy/105232016?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
C# / .NET Tech Lead (Team Lead),Octasoft,350 000 – 450 000 ₽ до вычета налогов,https://hh.ru/vacancy/104572530?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Python backend developer,LITE Gallery,от 140 000 ₽ на руки,https://hh.ru/vacancy/104578756?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист 1С/Руководитель группы разработчиков,ООО Кадровый Метод,350 000 – 390 000 ₽ на руки,https://hh.ru/vacancy/106107732?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
GO разработчик Middle,ООО Смарт Текнолоджис,от 200 000 ₽ на руки,https://hh.ru/vacancy/105439162?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
GO разработчик Middle,ООО Смарт Текнолоджис,от 200 000 ₽ на руки,https://hh.ru/vacancy/105439162?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Fullstack-разработчик PHP (Laravel), NodeJs, Vue/React",ООО Итсен,150 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/105849925?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"PHP-разработчик (Junior+/Middle, fullstack) удаленно",AiHub,130 000 – 150 000 ₽ на руки,https://hh.ru/vacancy/106117563?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-разработчик Битрикс (middle),Semprogroup,170 000 – 230 000 ₽ на руки,https://hh.ru/vacancy/103767199?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С УТ 10.3,Респект,до 150 000 ₽ на руки,https://hh.ru/vacancy/99594700?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-разработчик (Laravel),Нескучные Финансы,до 200 000 ₽ на руки,https://hh.ru/vacancy/104228660?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend PHP разработчик,БейсикДекор,до 200 000 ₽ на руки,https://hh.ru/vacancy/105518652?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Web-разработчик/Администратор сайта,ООО ТД ВЕНТЗ,от 80 000 ₽ на руки,https://hh.ru/vacancy/104467826?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик React,FindSport,120 000 – 140 000 ₽ на руки,https://hh.ru/vacancy/105411598?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle PHP Разработчик (PHP Backend Developer) в отдел интеграций,amoCRM,от 100 000 ₽ на руки,https://hh.ru/vacancy/104907040?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Front-end разработчик (React),АО НТЦ ЕЭС Информационные Комплексы,до 250 000 ₽ до вычета налогов,https://hh.ru/vacancy/104522932?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle Node.Js разработчик,ИП Мамаева Ирина Анатольевна,до 250 000 ₽ на руки,https://hh.ru/vacancy/105039567?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Golang разработчик (Middle/Senior),ИП Мамаева Ирина Анатольевна,от 280 000 ₽ на руки,https://hh.ru/vacancy/106001465?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик (Ruby),evrone.ru,до 370 000 ₽ на руки,https://hh.ru/vacancy/90272219?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик алгоритмического обеспечения,"АО Топаз, НПП",от 106 000 ₽ до вычета налогов,https://hh.ru/vacancy/105966313?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java Developer,ООО Орбсофт,150 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/102205830?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Старший разработчик 1С,"Мик-Информ, компания",250 000 – 320 000 ₽ на руки,https://hh.ru/vacancy/102694178?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior Python Developer,DarwinSoft (ООО Дарвин),50 000 – 80 000 ₽ на руки,https://hh.ru/vacancy/104724178?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Team Lead Bitrix,ООО Алфарма,до 350 000 ₽ до вычета налогов,https://hh.ru/vacancy/104945419?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист 1C,ООО Квадрат-С,от 200 000 ₽ на руки,https://hh.ru/vacancy/95458793?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Lead (PHP) Backend developer,Бронируй Онлайн,от 350 000 ₽ до вычета налогов,https://hh.ru/vacancy/105213070?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (гибридный график),ООО А-Восток,250 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/98161597?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java разработчик,MIA Dev,от 250 000 ₽ на руки,https://hh.ru/vacancy/105968757?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle+ Unreal Engine 5 Developer (VR),PORTAL TECH,от 200 000 ₽ на руки,https://hh.ru/vacancy/104608320?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Администратор 1C / Программист 1С,АО ЛИНДЕКС,от 150 000 ₽ до вычета налогов,https://hh.ru/vacancy/105130316?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Senior BackEnd Developer (Node.JS),Your Personal Agent,300 000 – 350 000 ₽ на руки,https://hh.ru/vacancy/105979486?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Fullstack разработчик (Middle), PHP",ИП Яковишин Артем Вячеславович,до 300 000 ₽ на руки,https://hh.ru/vacancy/106074443?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java-разработчик middle,Amex Development,180 000 – 220 000 ₽ на руки,https://hh.ru/vacancy/104990697?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП,Фарватер,до 200 000 ₽ на руки,https://hh.ru/vacancy/105047838?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Системный программист Linux,ООО Сервисный центр Транстелематика,до 250 000 ₽ на руки,https://hh.ru/vacancy/96017867?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик (Vue + TypeScript),ИП Мамаева Ирина Анатольевна,до 230 000 ₽ на руки,https://hh.ru/vacancy/104729685?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист Java,Offer Now,до 570 000 ₽ до вычета налогов,https://hh.ru/vacancy/105963996?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Unity разработчик (Gambling/Betting),Aezakmi Group,40 000 – 80 000 ₽ на руки,https://hh.ru/vacancy/106068137?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
C# .Net Team Lead / Ведущий разработчик (удаленно),ZennoLab,от 400 000 ₽ до вычета налогов,https://hh.ru/vacancy/104824838?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Специалист 1С / Программист,КРОСТ,от 180 000 ₽ на руки,https://hh.ru/vacancy/105139660?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Senior Frontend Developer / Разработчик,Акселератор возможностей,250 000 – 350 000 ₽ на руки,https://hh.ru/vacancy/105323515?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle Python Developer,Филиал компании Лист Ренталс Лимитед,2 000 – 3 500 $ до вычета налогов,https://hh.ru/vacancy/105678472?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик VueJS,ООО ЕШОПМЕДИА,200 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/105312061?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend developer (React),Enjoypro,180 000 – 230 000 ₽ на руки,https://hh.ru/vacancy/105721131?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик веб-приложений на языке PHP,ООО Братство Кодеров,100 000 – 150 000 ₽ до вычета налогов,https://hh.ru/vacancy/104888737?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Flutter Developer (Flutter, React)",SharesPro,от 250 000 ₽ на руки,https://hh.ru/vacancy/104951515?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Python разработчик,ООО ДИАМЕХ 2000,130 000 – 140 000 ₽ на руки,https://hh.ru/vacancy/105064178?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик Golang,ЗАО НОРСИ-ТРАНС,60 000 – 150 000 ₽ на руки,https://hh.ru/vacancy/105220056?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Node.js Backend Developer (Middle/Middle+),ООО Лаборатория Маркетинга,от 250 000 ₽ на руки,https://hh.ru/vacancy/105789156?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle\Middle+ Back-end Developer,ООО Секвойя Сервис,120 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/104620865?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle\Middle+ Back-end Developer,ООО Секвойя Сервис,120 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/105131752?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП,ООО ЛИТЭК,120 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/106028825?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle Frontend Developer,Dream Job,100 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/105647122?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
IOS разработчик,ООО Макрон Цифровые Системы,200 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/105934558?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java developer,Enjoypro,200 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/105123138?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Администратор сайта/разработчик,ООО Вертикаль,80 000 – 110 000 ₽ на руки,https://hh.ru/vacancy/105253965?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Front-end разработчик,ООО ТопКомпетенс,100 000 – 150 000 ₽ на руки,https://hh.ru/vacancy/105725170?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик С++ (middle),ООО Уникальные Волоконные Приборы - Комплексные Системы,от 150 000 ₽ до вычета налогов,https://hh.ru/vacancy/106058977?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист 1С,Респект,до 250 000 ₽ на руки,https://hh.ru/vacancy/98354221?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle Backend разработчик (Python + Golang),Tevian (ООО Технологии видеоанализа),200 000 – 285 000 ₽ до вычета налогов,https://hh.ru/vacancy/106021179?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Golang Backend Developer \ Разработчик Golang,ООО Селфсек,240 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/101443435?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-робототехник (программист / АСУТП),Top 3D Group,120 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/104546354?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Backend разработчик (Golang) (Middle-, Middle)",PatentCore.ru,100 000 – 130 000 ₽ на руки,https://hh.ru/vacancy/106111535?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Senior C++ developer (gamedev),DATASAKURA,4 000 – 4 800 $ до вычета налогов,https://hh.ru/vacancy/104835360?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик Битрикс,ООО Оптимакрос,от 100 000 ₽ на руки,https://hh.ru/vacancy/104112407?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP Laravel Senior Developer,Qugo,300 000 – 350 000 ₽ на руки,https://hh.ru/vacancy/104907385?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Senior developer C#,Bip.ru,250 000 – 350 000 ₽ на руки,https://hh.ru/vacancy/89906361?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С в транспортную компанию,ООО Парус,200 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/104571686?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Специалист-разработчик ПО,ИнтэлЛекс,от 180 000 ₽ на руки,https://hh.ru/vacancy/105787535?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java - разработчик,Группа компаний «ИНФОРСЕР»,от 140 000 ₽ на руки,https://hh.ru/vacancy/96982506?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик Laravel/Vue3/Nuxt3,ООО Globaldrive,160 000 – 180 000 ₽ на руки,https://hh.ru/vacancy/106081370?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
React Native разработчик,ДЖЕЙКЕТ РАБОТА,25 000 – 30 000 ₽ на руки,https://hh.ru/vacancy/104720981?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Тимлид Fullstack разработчик на JS, PHP",ООО ГРАН ЛИМИТЕД,200 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/104710562?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Специалист технической поддержки Битрикс24 | IT,BitRun,60 000 – 80 000 ₽ на руки,https://hh.ru/vacancy/106085136?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Fullstack-разработчик,ИП Гарькавый Алексей Владимирович,400 – 1 500 $ на руки,https://hh.ru/vacancy/106086384?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
