Название вакансии,Название компании,зарплата,ссылка на вакансию
Reverse Engineer / программист C,ООО Реверслаб,от 200 000 ₽ на руки,https://hh.ru/vacancy/104844476?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend разработчик (Middle),ООО Галактика,180 000 – 230 000 ₽ на руки,https://hh.ru/vacancy/104736855?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист Delphi,ООО У Сервис+,200 000 – 200 000 ₽ до вычета налогов,https://hh.ru/vacancy/105894740?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,Научно-Технический Центр Спектр,250 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/101325023?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior программист 1С/Стажер,Первый Бит,от 35 000 ₽ до вычета налогов,https://hh.ru/vacancy/100390490?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Программист данных (JS, SQL)",ООО Контур Компонентс,180 000 – 220 000 ₽ до вычета налогов,https://hh.ru/vacancy/105321258?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Web-программист (Машинное зрение),Cpaaggregator.com,50 000 – 150 000 ₽ на руки,https://hh.ru/vacancy/105342610?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C Разработчик,АО ИТ-Индустрия,150 000 – 170 000 ₽ до вычета налогов,https://hh.ru/vacancy/106081079?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик десктопного кроссплатформенного ПО на С++,ООО ДМС Передовые Технологии,от 240 000 ₽ на руки,https://hh.ru/vacancy/105225094?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-программист,AmoPoint,до 120 000 ₽ на руки,https://hh.ru/vacancy/105886096?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
